,0
LOW,0.09002918820189765
HD,0.08274959317153154
TGT,0.08147890180771299
UPS,0.06998937542672429
NKE,0.06533072531813823
SBUX,0.04220717404782979
DE,0.04119413530692373
AAPL,0.024104420801840443
DIS,0.022675032800511436
PNC,0.018026468040305263
RTX,-0.07745173020055562
LMT,-0.07233878492813807
GE,-0.06060010619513509
LLY,-0.05252436164073423
ABBV,-0.037605886546995204
JPM,-0.03664672476952696
MRK,-0.0335932531369149
DHR,-0.03240653871153442
ABT,-0.029605486255923415
COST,-0.02944211269112673
