Date,AAPL,MSFT,GOOGL,META,NVDA,AMD,INTC,CSCO,ADBE,CRM,JPM,BAC,WFC,C,GS,MS,BLK,SCHW,USB,PNC,JNJ,UNH,PFE,ABBV,TMO,ABT,MRK,LLY,DHR,BMY,AMZN,TSLA,HD,NKE,MCD,SBUX,TGT,LOW,DIS,COST,XOM,CVX,COP,SLB,EOG,MPC,VLO,PSX,OXY,HAL,CAT,BA,HON,UPS,RTX,LMT,DE,GE,MMM,EMR
2025-01-31 00:00:00-05:00,234.93743896484375,412.791748046875,203.35702514648438,687.5739135742188,120.04385375976562,115.94999694824219,19.43000030517578,59.479103088378906,437.45001220703125,340.0317077636719,263.1107177734375,45.487091064453125,77.12407684326172,79.2318344116211,630.7033081054688,135.55540466308594,1059.0260009765625,81.95118713378906,46.2031135559082,195.3748321533203,148.56825256347656,533.0111083984375,25.139450073242188,179.3626708984375,596.0914916992188,126.20986938476562,96.05355834960938,806.2573852539062,221.6559295654297,56.778385162353516,237.67999267578125,404.6000061035156,404.5584411621094,75.61466217041016,283.8126220703125,105.6529312133789,132.08287048339844,256.0475769042969,112.57991027832031,974.7933959960938,103.94932556152344,144.17282104492188,96.41181182861328,39.35236358642578,122.45014953613281,143.26254272460938,130.81192016601562,114.57221984863281,45.90998458862305,25.429880142211914,367.2557678222656,176.52000427246094,207.58837890625,108.7416000366211,127.09019470214844,453.1082763671875,471.75457763671875,202.6480255126953,150.02157592773438,128.32797241210938
2025-02-03 00:00:00-05:00,226.98341369628906,408.67437744140625,200.57608032226562,695.8346557617188,116.63459777832031,114.2699966430664,19.3799991607666,59.91096115112305,438.6000061035156,337.5837097167969,262.6283874511719,45.3986701965332,76.47811126708984,77.99736022949219,622.7948608398438,134.31178283691406,998.221923828125,81.98090362548828,45.32314682006836,192.15667724609375,148.2948455810547,538.6016845703125,24.836109161376953,185.44871520996094,592.1026000976562,126.7228775024414,96.99639892578125,805.6112670898438,213.21719360351562,57.741546630859375,237.4199981689453,383.67999267578125,401.3964538574219,75.30984497070312,285.1397399902344,106.12388610839844,128.49131774902344,252.56192016601562,113.51592254638672,1000.6087646484375,104.20230102539062,144.31776428222656,96.07038116455078,39.23512649536133,123.04395294189453,144.53086853027344,133.9395751953125,114.5625,45.63442611694336,24.931447982788086,357.4771423339844,175.8699951171875,206.37283325195312,105.94284057617188,128.04620361328125,445.7383728027344,462.3404541015625,203.1855926513672,147.89248657226562,126.25418853759766
2025-02-04 00:00:00-05:00,231.75184631347656,410.116455078125,205.7093505859375,702.5488891601562,118.62416076660156,119.5,19.290000915527344,60.205413818359375,440.2300109863281,342.45977783203125,263.7406921386719,45.889892578125,77.77982330322266,76.8902587890625,624.5775146484375,133.92987060546875,1000.1026611328125,81.03974914550781,45.88400650024414,193.45950317382812,149.876708984375,535.9193725585938,24.52328872680664,185.26339721679688,578.9591674804688,127.36414337158203,88.19975280761719,821.1582641601562,213.96353149414062,56.94212341308594,242.05999755859375,392.2099914550781,404.0772705078125,75.43767547607422,284.8644714355469,108.5179443359375,129.8704833984375,253.28073120117188,112.81890106201172,1016.5554809570312,106.99491882324219,148.06729125976562,98.1189956665039,40.27071762084961,124.71827697753906,154.2744140625,140.63755798339844,120.15161895751953,46.83507537841797,25.74262237548828,357.8726501464844,176.22999572753906,207.4306182861328,106.39978790283203,126.51856231689453,444.0353088378906,467.5078430175781,201.2643280029297,149.50900268554688,126.09618377685547
2025-02-05 00:00:00-05:00,231.42333984375,411.0314636230469,190.70826721191406,703.2274169921875,124.80281066894531,112.01000213623047,19.649999618530273,61.412662506103516,437.6300048828125,346.2312927246094,266.191650390625,46.28287124633789,78.34750366210938,77.85039520263672,635.6768188476562,136.0449981689453,998.96044921875,81.10909271240234,45.81631851196289,193.3719940185547,151.04847717285156,530.3779296875,25.063613891601562,187.0189971923828,580.76416015625,130.2843475341797,87.15971374511719,837.1724853515625,211.09756469726562,57.5103874206543,236.1699981689453,378.1700134277344,406.36529541015625,73.3236083984375,283.9403991699219,110.13688659667969,129.49696350097656,254.5016632080078,110.07061767578125,1037.46630859375,106.91707611083984,147.8450469970703,97.75804138183594,40.14775085449219,124.30943298339844,154.6676788330078,138.2278594970703,119.86973571777344,46.60872268676758,25.693758010864258,354.8075866699219,181.83999633789062,206.31716918945312,106.5235366821289,127.29718017578125,440.3063049316406,462.964111328125,203.65347290039062,150.26800537109375,123.2027587890625
2025-02-06 00:00:00-05:00,232.16995239257812,413.5475769042969,190.97738647460938,710.3307495117188,128.65196228027344,110.16000366210938,19.3799991607666,61.11821365356445,435.3999938964844,329.1948547363281,272.5602722167969,46.90180969238281,79.6883544921875,80.66226959228516,648.25341796875,138.15037536621094,991.2011108398438,82.86264038085938,46.16443634033203,196.81378173828125,149.896240234375,520.7786254882812,24.485368728637695,188.20889282226562,571.1210327148438,126.49596405029297,85.58506774902344,865.1948852539062,208.98788452148438,55.304744720458984,238.8300018310547,374.32000732421875,406.69915771484375,70.54090881347656,289.3768005371094,109.59723663330078,128.98934936523438,253.00502014160156,111.61402893066406,1045.5343017578125,105.50617218017578,146.7916717529297,97.4946517944336,39.40007781982422,123.31652069091797,149.37803649902344,132.08067321777344,117.43968200683594,46.2347526550293,24.90212631225586,361.3332214355469,184.8000030517578,194.69065856933594,108.01810455322266,126.92265319824219,438.9850158691406,460.2913818359375,205.1267547607422,150.13987731933594,125.88880920410156
2025-02-07 00:00:00-05:00,226.60511779785156,407.5107727050781,184.73770141601562,712.8548583984375,129.8117218017578,107.55999755859375,19.100000381469727,61.11821365356445,433.07000732421875,324.2391662597656,271.47747802734375,46.567779541015625,79.34410858154297,80.06462097167969,645.9686279296875,137.07321166992188,976.844482421875,82.40691375732422,45.6712646484375,195.15122985839844,149.51541137695312,517.8212280273438,24.400053024291992,185.89736938476562,569.8843994140625,127.33454132080078,84.83661651611328,873.0877075195312,205.7537078857422,54.75574493408203,229.14999389648438,361.6199951171875,400.0314636230469,67.53205871582031,289.31781005859375,110.08782196044922,125.80005645751953,248.07192993164062,110.3892593383789,1039.5389404296875,105.95377349853516,147.4874725341797,95.95330047607422,39.50829315185547,123.14129638671875,147.59844970703125,130.89059448242188,116.93423461914062,46.03792190551758,24.61870574951172,359.78094482421875,181.49000549316406,190.70071411132812,107.67539978027344,126.10462188720703,434.9428405761719,460.90509033203125,204.3502960205078,147.7249298095703,122.81763458251953
2025-02-10 00:00:00-05:00,226.8741912841797,409.96728515625,185.86404418945312,715.7281494140625,133.54090881347656,110.4800033569336,19.770000457763672,61.64822006225586,451.1000061035156,325.6025085449219,266.7921447753906,45.850589752197266,77.79991149902344,79.09467315673828,640.679931640625,134.45864868164062,970.4539184570312,80.41559600830078,45.332820892333984,191.80665588378906,150.6090545654297,524.0504760742188,24.52328872680664,185.64378356933594,551.3259887695312,129.54440307617188,83.98125457763672,863.7138061523438,202.5095672607422,53.484371185302734,233.13999938964844,350.7300109863281,406.5321960449219,69.75428009033203,303.19879150390625,109.35194396972656,125.73300170898438,252.50282287597656,108.81596374511719,1057.57470703125,107.9776840209961,150.5315399169922,97.04591369628906,40.54125213623047,127.093505859375,151.1969757080078,134.55921936035156,120.24881744384766,47.612545013427734,25.390785217285156,359.1283264160156,180.5500030517578,193.48439025878906,108.6749496459961,126.4002914428711,438.69140625,465.2409362792969,204.29055786132812,147.54751586914062,125.16791534423828
2025-02-11 00:00:00-05:00,231.8272705078125,409.1915283203125,184.71778869628906,718.12255859375,132.77108764648438,111.0999984741211,20.969999313354492,61.27524948120117,458.82000732421875,322.8161315917969,270.68017578125,45.96849060058594,78.33103942871094,79.46697998046875,637.4397583007812,134.92869567871094,973.0632934570312,82.42672729492188,46.01939010620117,193.69284057617188,152.45455932617188,524.5908203125,24.200986862182617,187.09703063964844,543.7171630859375,129.6726837158203,84.11734008789062,859.8568115234375,200.6387176513672,53.87926483154297,232.75999450683594,328.5,408.8594970703125,70.14759826660156,304.9584655761719,108.93985748291016,126.85356140136719,253.08377075195312,108.55706787109375,1054.0093994140625,108.6588134765625,152.1453857421875,99.22134399414062,41.10200500488281,128.77757263183594,152.69143676757812,134.63790893554688,125.9254379272461,47.83889389038086,25.889219284057617,358.1495056152344,180.44000244140625,192.01832580566406,109.02717590332031,127.24788665771484,439.80712890625,469.517333984375,207.87425231933594,147.9220733642578,125.325927734375
2025-02-12 00:00:00-05:00,236.06277465820312,406.8046569824219,183.01333618164062,723.6895751953125,131.11143493652344,111.72000122070312,22.479999542236328,61.3734016418457,462.760009765625,324.5277404785156,271.13299560546875,45.3986701965332,77.94744873046875,79.62373352050781,639.173095703125,134.2628173828125,958.7952880859375,81.51527404785156,45.92268753051758,190.1635284423828,151.60504150390625,518.184814453125,24.144107818603516,188.23814392089844,536.5072631835938,128.73544311523438,83.27168273925781,867.7793579101562,201.1959991455078,54.08153533935547,228.92999267578125,336.510009765625,399.8056640625,71.0522232055664,302.39263916015625,110.91201782226562,123.15411376953125,246.41770935058594,108.76618194580078,1060.7615966796875,105.38961791992188,149.6907958984375,95.99232482910156,40.77736282348633,125.4191665649414,146.70375061035156,128.7563018798828,121.54161834716797,47.07126998901367,25.381013870239258,348.0743103027344,186.25,190.22747802734375,108.77014923095703,124.95149230957031,432.57427978515625,471.75457763671875,208.6905517578125,146.73922729492188,122.94599914550781
2025-02-13 00:00:00-05:00,240.7069091796875,408.29644775390625,185.5351104736328,726.8621826171875,135.26052856445312,111.80999755859375,24.1299991607666,62.65917205810547,459.2200012207031,328.23956298828125,271.9893493652344,45.516563415527344,77.55401611328125,80.43692016601562,639.1238403320312,133.99842834472656,965.2843017578125,80.81187438964844,45.825984954833984,190.0079803466797,153.54820251464844,521.8987426757812,24.30525779724121,188.6770477294922,531.1621704101562,130.01795959472656,82.05668640136719,866.676025390625,202.59912109375,53.908164978027344,230.3699951171875,355.94000244140625,405.0003356933594,71.98634338378906,304.77166748046875,110.87277221679688,124.19729614257812,248.7808837890625,109.12464141845703,1072.45361328125,106.1553726196289,150.63784790039062,94.5290298461914,41.39714050292969,125.59439086914062,151.5017547607422,128.83499145507812,122.02761840820312,47.12047576904297,25.683982849121094,349.715576171875,185.44000244140625,190.46875,110.0838394165039,124.02505493164062,425.4784240722656,461.51885986328125,207.4163360595703,146.59140014648438,123.73602294921875
