pair,accuracy,auc,precision,recall,n_signals,n_true_signals
ABT-MRK,0.937984496124031,0.9929824561403509,0.9333333333333332,0.6083333333333334,4.0,6.0
MCD-MRK,0.9069767441860466,0.9629482423600071,0.6590909090909092,0.9166666666666667,10.5,7.5
GE-RTX,0.8488372093023255,0.9515931372549019,0.6666666666666667,0.9131944444444444,17.0,12.5
ABBV-RTX,0.8604651162790699,0.9214565004887586,0.7509881422924902,0.9111111111111111,13.0,9.0
MCD-ABT,0.8953488372093024,0.9818181818181819,0.8,0.75,9.0,7.5
