,0
WFC,0.08055999067676196
BAC,0.07244315849364674
PNC,0.06406429739562632
JPM,0.06326239841913892
USB,0.05611258288156224
MS,0.055121132927933615
C,0.05403853543143962
GS,0.052098415322221536
SCHW,0.0520340552772323
BLK,0.021473749546842686
MSFT,-0.0489813372803206
META,-0.04706086277487552
NVDA,-0.04689953392065822
AAPL,-0.04446200459957498
AMZN,-0.04444239073820657
GOOGL,-0.041058909500252434
ADBE,-0.0408033955535209
MRK,-0.04010088059593306
AMD,-0.03895354647232257
LLY,-0.03602882219192927
