,0
JNJ,0.06857573627629003
ABT,0.06085290550212717
PFE,0.05837908082417415
MRK,0.05835739175194791
BMY,0.056655667634177884
ABBV,0.05519490941498288
MCD,0.05491812468244037
TMO,0.051492042722482534
DHR,0.04795167540381057
LOW,0.04401201905571981
EOG,-0.05007452570233492
COP,-0.04849813757301076
OXY,-0.046340953258128995
HAL,-0.04605462394696394
VLO,-0.04507774032363624
MPC,-0.04497298525479112
XOM,-0.044197397693980706
CVX,-0.04198277183932856
SLB,-0.038747709459064
PSX,-0.03766360168060734
