,0
GS,0.08073765662580454
MS,0.07845985541212105
USB,0.07805000472596163
PNC,0.0774786536321783
C,0.07652953903578638
BLK,0.07629906021204569
BAC,0.07555177735982956
EMR,0.07530778936250616
JPM,0.07363881568542795
CAT,0.07195193945338707
UNH,0.011271053463792629
JNJ,0.01742648239613146
LMT,0.017625326804990737
MCD,0.02203788920288392
ABT,0.022428277573506045
MRK,0.024631021429943497
LLY,0.026969883612082367
BMY,0.02843631072032622
ABBV,0.03184956124729408
PFE,0.03331910204400048
